Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;UTM_X;UTM_Y
Deutschland;Sachsen;Zittau;Uferweg 1;28739;HMF;0.2;HK;70;1.5;55;487704.9466;5637709.937
Deutschland;Sachsen;Zittau;Uferweg 2;26028;HMF;0.3;HK;70;1.5;55;487693.3968;5637697.649
Deutschland;Sachsen;Zittau;Uferweg 3;28096;HMF;0.4;HK;70;1.5;55;487681.66;5637685.161
Deutschland;Sachsen;Zittau;Uferweg 4;34139;HMF;0.2;HK;70;1.5;55;487669.8879;5637672.64
Deutschland;Sachsen;Zittau;Uferweg 5;29777;HMF;0.3;HK;70;1.5;55;487658.1792;5637660.185
Deutschland;Sachsen;Zittau;Uferweg 6;31742;HMF;0.4;HK;70;1.5;55;487635.7676;5637649.596
Deutschland;Sachsen;Zittau;Uferweg 7;36806;HMF;0.2;HK;70;1.5;55;487618.8225;5637646.601
Deutschland;Sachsen;Zittau;Uferweg 8;26924;HMF;0.3;HK;70;1.5;55;487601.9653;5637643.622
Deutschland;Sachsen;Zittau;Uferweg 9;29652;HMF;0.4;HK;70;1.5;55;487566.0371;5637629.452
Deutschland;Sachsen;Zittau;Uferweg 10;37456;HMF;0.2;HK;70;1.5;55;487549.4317;5637626.367
Deutschland;Sachsen;Zittau;Uferweg 11;33709;HMF;0.3;HK;70;1.5;55;487532.5604;5637623.232
Deutschland;Sachsen;Zittau;Uferweg 12;21062;HMF;0.4;HK;70;1.5;55;487515.64;5637620.098
Deutschland;Sachsen;Zittau;Uferweg 13;30611;HMF;0.2;HK;70;1.5;55;487498.8109;5637616.969
Deutschland;Sachsen;Zittau;Uferweg 14;33628;HMF;0.3;HK;70;1.5;55;487465.2757;5637603.689
Deutschland;Sachsen;Zittau;Uferweg 15;34689;HMF;0.4;HK;70;1.5;55;487448.6698;5637600.61
Deutschland;Sachsen;Zittau;Uferweg 16;26995;HMF;0.2;HK;70;1.5;55;487431.7984;5637597.476
Deutschland;Sachsen;Zittau;Uferweg 17;35125;HMF;0.3;HK;70;1.5;55;487414.8789;5637594.331
Deutschland;Sachsen;Zittau;Uferweg 18;31008;HMF;0.4;HK;70;1.5;55;487398.0485;5637591.214
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 2;20603;HMF;0.2;HK;70;1.5;55;487489.25;5637774.855
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 4;26311;HMF;0.3;HK;70;1.5;55;487503.1004;5637778.119
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 6;32436;HMF;0.4;HK;70;1.5;55;487518.086;5637781.658
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 8;37231;HMF;0.2;HK;70;1.5;55;487532.6778;5637785.098
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 10;32485;HMF;0.3;HK;70;1.5;55;487529.898;5637752.194
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 12;22495;HMF;0.4;HK;70;1.5;55;487532.4649;5637738.238
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 14;28946;HMF;0.2;HK;70;1.5;55;487535.2444;5637723.13
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 16;34729;HMF;0.3;HK;70;1.5;55;487537.9497;5637708.422
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 18;32859;HMF;0.4;HK;70;1.5;55;487540.6648;5637693.665
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 20;30667;HMF;0.2;HK;70;1.5;55;487543.3374;5637679.124
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 22;32601;HMF;0.3;HK;70;1.5;55;487545.8443;5637665.496
