Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max
Deutschland;Sachsen;Zittau;Uferweg 1;28739;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 2;26028;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 3;28096;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 4;34139;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 5;29777;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 6;31742;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 7;36806;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 8;26924;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 9;29652;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 10;37456;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 11;33709;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 12;21062;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 13;30611;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 14;33628;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 15;34689;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 16;26995;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 17;35125;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Uferweg 18;31008;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 2;20603;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 4;26311;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 6;32436;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 8;37231;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 10;32485;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 12;22495;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 14;28946;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 16;34729;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 18;32859;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 20;30667;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 22;32601;HMF;0.3;HK;70;1.5;55
